Username,Timestamp,Content
@WCheleA,2024-07-03T13:56:20.000Z,"Portoviejo
 Pensé que en mi vida había visto todo pasó  en HOSPITAL VERDI CEVALLOS  enfermera tuvo  la poca amabilidad de atender a un niño que había sido atropellado y tenía una gran protuberancia en la cabeza lo tuvo en sala de espera 3 horas sin atención  
@Salud_Ec
 de Salud"
@ecuaplomodolor,2024-06-12T23:50:28.000Z,"PORTOVIEJO 

Hace poco acaban de APUÑALAR a un ESTUDIANTE del COLEGIO PORTOVIEJO, el estudiante fue trasladado al HOSPITAL VERDI CEVALLOS."
@RComunitariosEc,2024-06-12T22:48:51.000Z,"Ya ahora nuestros adolescentes y jóvenes estudiantes? 
@Educacion_Ec
Estudiante fue apuñalado tras pelea en colegio #Portoviejo, fue trasladado de inmediato al hospital Regional Verdi Cevallos 

Noticia en Desarrollo 

#RMCEc
@JuankBanda593"
@HospitalVerdi,2024-05-23T22:17:38.000Z,"#ElNuevoEcuador | Danna es una madre donante  

Conoce cómo la donación de leche ha cambiado para bien la vida de Danna. El Banco de Leche Humana del Hospital Verdi Cevallos ha sido su principal aliado en este proceso de dar “amor en cada gota” "
@PalizMiguel,2024-05-23T16:03:54.000Z,Lo que afirmas es subjetivo. Ni siquiera existen cifras que sostengan lo que dices. Pero se dirá cualquier cosa con tal de intentar justificar lo injustificable. A propósito. El Verdi Cevallos sigue inconcluso. OCHO AÑOS DESPUES.
@HospitalVerdi,2024-05-17T16:10:12.000Z,"#ElNuevoEcuador | Hablamos del PREP y PEP con el equipo médico 

El tratamiento PREP (manejo pre exposición VIH ) y PEP (manejo pos exposición VIH) fue socializado en la sección viernes científico del Hospital Verdi Cevallos con el equipo de especialistas médicos. 1/2"
@HospitalVerdi,2024-05-05T17:45:36.000Z,"#ElNuevoEcuador | Una semana de actividades por la Higiene de Manos 

Este domingo, el mundo conmemora el Día de la Higiene de Manos, por lo que el Hospital Verdi Cevallos destinará la semana entera para realizar actividades, educativas, lúdicas y dinámicas 1/2"
@jeancastilloma,2024-05-02T11:55:21.000Z,"Hospital especialidades Portoviejo, repotenciacion verdi Cevallos, Puerto pesquero varios, mejoramiento vial, via manta ampliada, via alterna a manta construida, hospital Chone se usó con esos fondos, bahía. Ahora el Novita con mismo presupuesto que correa no hace nada."
@HospitalVerdi,2024-04-30T22:36:20.000Z,"""Se trata de un quiste epidermoide también conocido como colesteatoma cerebral"" explica el médico Kléver Sornoza, neurocirujano del Hospital Verdi Cevallos, y quien lideró el procedimiento quirúrgico. 2/6"
@HospitalVerdi,2024-04-29T18:18:40.000Z,"Mención especial llevaron los profesionales con más 30 años de labores ininterrumpidas, a quienes con medallas y emotivos aplausos, el emblemático Verdi Cevallos, abrazó y reconoció. 2/4"
@HospitalVerdi,2024-04-29T17:56:53.000Z,"#ElNuevoEcuador | Bienvenidos al emblemático Verdi Cevallos 

Internos rotativos de las carreras de medicina, enfermería y nutrición de las universidades de la región, iniciaron hoy su proceso de inducción previó al comienzo de sus actividades intrahospitalarias. 1/2"
@edicionmedEC,2023-12-29T02:30:00.000Z,"#ATENCIÓN Personal del Hospital Verdi Cevallos realiza plantón por atraso en los pagos.
Aquí los detalles >> http://tinyurl.com/ymfuqjan"
@edicionmedEC,2023-12-28T23:30:00.000Z,"#ATENCIÓN Personal del Hospital Verdi Cevallos realiza plantón por atraso en los pagos.
Aquí los detalles >> http://tinyurl.com/ymfuqjan"
@edicionmedEC,2023-12-28T21:30:00.000Z,"#ATENCIÓN Personal del Hospital Verdi Cevallos realiza plantón por atraso en los pagos.
Aquí los detalles >> http://tinyurl.com/ymfuqjan"
@SaetaTv,2023-12-28T19:46:08.000Z,"Pero plata para las pautas sí hay. Trabajadores del hospital Verdi Cevallos protestaron para que les paguen sus sueldos y décimos, que no han recibido hasta ahora. #Portoviejo"
@edicionmedEC,2023-12-28T18:30:00.000Z,"#ATENCIÓN Personal del Hospital Verdi Cevallos realiza plantón por atraso en los pagos.
Aquí los detalles >> http://tinyurl.com/ymfuqjan"
@CrimenCastigoEc,2023-12-28T18:02:16.000Z,".#SomosCronica

 #URGENTE

 Trabajadores del Hospital #VerdiCevallos en #Portoviejo #Manabí protestaron porque aún no les cancelan los sueldos y décimos atrasados. "
@edicionmedEC,2023-12-28T16:30:12.000Z,"#ATENCIÓN Personal del Hospital Verdi Cevallos realiza plantón por atraso en los pagos.
Aquí los detalles >> http://tinyurl.com/ymfuqjan"
@RadioMorena640,2023-12-27T17:58:44.000Z,"#ATENCION // EL personal del Hospital General Verdi Cevallos de #Portoviejo, en #Manabí, exige al Ministerio de 
@Salud_Ec
 el pago de sus haberes pendientes.

#Ecuador #Nacionales #Radio #Urgente #Noticias #justicia #economia"
@jasmel_1,2023-12-27T17:50:55.000Z,"Guillermo Lasso Mendoza 
@LassoGuillermo
  este es el país de dejas, se de debe caer la careta de vergüenza, pero como eres político te da igual.

Trabajadores del Hospital General Verdi Cevallos de #Portoviejo piden su plata."
@postdataecu593,2023-12-27T17:41:46.000Z,"#ATENCIÓN
#Manabí
Personal del Hospital General Verdi Cevallos de #Portoviejo, exige al Ministerio de 
@Salud_Ec
el pago de sus sueldos y los décimos."
@radiosonorama,2023-12-27T17:34:13.000Z,"Trabajadores del Hospital Verdi Cevallos, de Portoviejo, exigen al Ministerio de Salud el pago de sus haberes pendientes y sus décimos.#noticias #sonorama"
